,movieId,title,variance,predictedVariance,reviewCount,reviewMean,(no genres listed),Action,Adventure,Children,Comedy,Crime,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
0,148426,Fateful Findings (2013),3.1455555555555565,1.113004634075637,30,2.566666666666667,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
1,1311,Santa with Muscles (1996),3.0167243367935415,1.1577077288221966,153,2.57843137254902,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,135623,The Fluffy Movie (2014),2.8778696051423323,0.9929541205914466,33,3.303030303030303,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,145493,The Challenge (2003),2.8264,1.2674457113657236,25,2.56,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4,1467,Salut cousin! (1996),2.78,1.144076832173949,25,2.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
5,74754,"Room, The (2003)",2.778560215839569,1.2004051376457272,673,2.4093610698365526,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
6,163060,The Green Elephant (1999),2.770710059171598,1.1069616776378948,26,2.6923076923076925,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,86083,"Crazy Class Wakes Up, The (Hababam sinifi uyaniyor) (1977)",2.724007561436673,0.9333400816968931,23,3.565217391304348,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1308,I Shot a Man in Vegas (1995),2.704081632653061,1.1268182366446866,21,2.7142857142857144,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,161658,Hillary's America: The Secret History Of The Democratic Party (2016),2.6625708884688093,1.3380132491682253,23,2.5217391304347827,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,158398,World of Glory (1991),2.656899810964084,0.9778259348418239,23,3.3695652173913038,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,175795,Descendants 2 (2017),2.6552467300832343,1.1730267007924722,58,2.853448275862069,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,873,Shadow of Angels (Schatten der Engel) (1976),2.642998027613413,1.0719813486692313,39,2.8461538461538463,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,120486,Daar (1993),2.635,1.0660591901906875,20,2.8,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0
14,110603,God's Not Dead (2014),2.6347222222222224,1.1544766244869957,150,2.4833333333333334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,86057,Outrageous Class (Hababam sinifi) (1975),2.5972222222222223,0.9015465513245494,24,3.6666666666666665,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
16,186251,God's Not Dead: A Light in Darkness (2018),2.581875,1.2473202476246565,20,2.075,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,843,Lotto Land (1995),2.5680991735537195,0.966722358772617,55,3.3090909090909086,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18,140441,Anne Of Green Gables: The Continuing Story (2000),2.5623582766439914,1.0653167990572208,21,3.261904761904762,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19,160474,Adventures in Babysitting (2016),2.531875,1.1357507135063276,20,2.675,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,135765,Vishwaroopam (2013),2.5264,1.0275705181054327,25,2.56,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
21,162660,God's Not Dead 2 (2016),2.520640432098766,1.1538450352139507,36,2.4861111111111107,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22,164869,A Cinderella Story: If the Shoe Fits (2016),2.4988109393579063,1.069695187121968,29,2.9655172413793105,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,128169,Beethoven's 3rd (2000),2.4896694214876027,1.304746851590255,22,2.3181818181818183,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,201863,Poms (2019),2.4868749999999995,1.1812251411655899,20,2.475,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1368,"Forbidden Christ, The (Cristo proibito, Il) (1950)",2.4688365650969533,0.9711827691411091,38,3.2894736842105265,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26,122517,Air Buddies (2006),2.4612603305785115,1.3066061572131646,22,2.4318181818181817,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
27,7113,Cabeza de Vaca (1991),2.4604289940828403,0.9963594695586917,26,3.1730769230769234,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,145028,Jem and the Holograms (2015),2.4555785123966944,1.2488967937835094,44,2.3181818181818183,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
29,187429,Saw Rebirth (2005),2.4275,1.2633758733361748,20,2.85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,103120,Beverly Hills Chihuahua 3 (2012),2.423553719008265,1.234640078246406,22,2.590909090909091,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,41704,"Shaft, The (a.k.a. Down) (2001)",2.421875,1.2555774448106585,20,2.375,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
32,124273,Kevin Smith: Too Fat For 40 (2010),2.4208984375,1.0689601478817858,32,2.96875,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,8829,Benji: Off the Leash! (2004),2.4155102040816323,1.2645381011835133,35,2.3857142857142857,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
34,171631,Maria Bamford: Old Baby,2.4024943310657605,1.3321288770591075,21,2.5476190476190474,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1118,North Star (a.k.a. Tashunga) (1995),2.3984,0.9439174607115848,25,2.96,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
36,167800,Gabriel Iglesias: I'm Sorry for What I Said When I Was Hungry (2016),2.394398530762168,0.9963991529898756,33,3.287878787878788,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1765,"Letter From Death Row, A (1998)",2.3868749999999994,1.1569269287907922,20,2.275,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
38,26157,Manos: The Hands of Fate (1966),2.381281036949752,1.3786433404611003,109,1.798165137614679,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39,118392,Street Fighter: Assassin's Fist (2014),2.3765432098765427,0.9808862574747407,27,2.888888888888889,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
40,71182,"Travelling Players, The (O thiasos) (1975)",2.373333333333333,0.9105952566455264,30,3.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
41,121184,Save the Last Dance 2 (2006),2.3496,1.054530786744488,25,2.98,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
42,196511,Springsteen On Broadway (2018),2.3469387755102042,1.2942335206763889,21,2.7142857142857144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,5939,"Man Who Saves the World, The (Dünyayi Kurtaran Adam) (1982)",2.3381344307270235,1.225331285682315,54,2.2962962962962963,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
44,8681,Lancelot of the Lake (Lancelot du Lac) (1974),2.330621301775148,0.9840539474797196,52,3.0769230769230766,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
45,171835,Neznaika na lune (1997),2.326989619377162,1.1690833101015277,34,3.2647058823529416,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
